Datum;KT_SO;Gerlafingen
31.12.1970;226932;4768
31.12.1971;228511;4863
31.12.1972;229214;4856
31.12.1973;231066;4945
31.12.1974;231391;4969
31.12.1975;227388;4865
31.12.1976;223945;4745
31.12.1977;222490;4675
31.12.1978;218973;4800
31.12.1979;218471;4697
31.12.1980;219586;4674
31.12.1981;220685;4686
31.12.1982;220956;4648
31.12.1983;220745;4570
31.12.1984;221116;4532
31.12.1985;221883;4424
31.12.1986;222782;4387
31.12.1987;223696;4389
31.12.1988;225530;4459
31.12.1989;228097;4512
31.12.1990;231035;4671
31.12.1991;233946;4658
31.12.1992;235742;4699
31.12.1993;237149;4792
31.12.1994;238571;4876
31.12.1995;240468;4892
31.12.1996;241910;4907
31.12.1997;242573;4851
31.12.1998;244294;4800
31.12.1999;245533;4771
31.12.2000;246121;4775
31.12.2001;247241;4844
31.12.2002;248332;4886
31.12.2003;249113;4852
31.12.2004;249710;4858
31.12.2005;250614;4851
31.12.2006;251657;4838
31.12.2007;253057;4870
31.12.2008;254444;4909
31.12.2009;255667;4864
31.12.2010;256888;4822
31.12.2011;257393;4875
31.12.2012;259836;4894
31.12.2013;262965;4954
31.12.2014;265171;4932
31.12.2015;267836;5016
31.12.2016;270711;5098
31.12.2017;273015;5180
31.12.2018;274748;5257
31.12.2019;276469;5364
31.12.2020;278640;5529
31.12.2021;281415;5597
