Jahr;Personen;Steuerbares Einkommen
1998;148329;6551307
1999;146773;6732949
2000;145022;6588062
2001;144154;7037941
2002;145781;7156045
2003;147513;7261471
2004;148898;7328524
2005;150343;7389354
2006;151879;7619186
2007;153622;7872887
2008;154909;7965942
2009;156600;8268712
2010;158106;8303010
2011;160135;8455432
2012;161570;8554928.954
2013;163634;8690159.406
2014;173118;8836526.631
2015;175546;8966626.422
2016;177298;9079906.635
2017;170414;9279286
2018;177548;9293956.05
